DATASETS,,,
Metric,Value,Count,Percentage
Total Datasets,248,,
Multi-study Datasets,49,49,19.8%
Biosample Datasets,33,33,13.3%
,,,
Coarse Data Types,,,
clinical,,195,31.7%
genetics,,94,15.3%
transcriptomics,,88,14.3%
longitudinal,,84,13.6%
imaging,,60,9.7%
proteomics,,51,8.3%
metabolomics,,22,3.6%
epigenomics,,19,3.1%
cognitive,,1,0.2%
immunological,,1,0.2%
omics,,1,0.2%
,,,
Sample Size Statistics,,,
Mean,14959,,
Median,687,,
Min,1,,
Max,999999,,
Std Dev,86605,,
,,,
FAIR Compliance Levels,,,
Excellent,,123,49.6%
Strong,,69,27.8%
Good,,56,22.6%
,,,
PUBLICATIONS,,,
,,,
Five Most Prolific Studies,,,
Alzheimer's Disease Neuroimaging Initiative,,139,
Memory and Aging Project,,126,
Parkinson's Progression Markers Initiative,,122,
National Alzheimer's Coordinating Center Uniform Data Set,,87,
Religious Orders Study,,84,
,,,
Five Most Occurring Authors,,,
Hansson Oskar,,110,
Bennett David A,,102,
Stomrud Erik,,92,
Palmqvist Sebastian,,90,
Mattsson-Carlgren Niklas,,83,
,,,
Five Most Occurring Affiliations,,,
"Rush Alzheimer's Disease Center, Rush University Medical Center, Chicago, Illinois, USA.",,65,
"Clinical Memory Research Unit, Department of Clinical Sciences Malmö, Lund University, Lund, Sweden.",,34,
"Department of Radiology, Mayo Clinic, Rochester, Minnesota, USA.",,30,
"Department of Neurology, Mayo Clinic, Rochester, Minnesota, USA.",,26,
"Department of Quantitative Health Sciences, Mayo Clinic, Rochester, Minnesota, USA.",,15,
,,,
Top 10 Keywords,,,
disease,,769,8.2%
cognitive,,183,2.0%
biomarkers,,171,1.8%
amyloid,,146,1.6%
dementia,,146,1.6%
tau,,126,1.4%
learning,,118,1.3%
imaging,,90,1.0%
impairment,,86,0.9%
brain,,85,0.9%
,,,
Data Completeness Distribution from PubMed API,,,
Mean,91.0%,,
Median,100.0%,,
Std Dev,12.5%,,
Distribution,,,
0-25%,,0,
26-50%,,10,
51-75%,,54,
76-100%,,1131,
,,,
CODE REPOSITORIES,,,
Total Repositories,568,,
,,,
Top Programming Languages,,,
Jupyter Notebook,,172,30.3%
Python,,124,21.8%
R,,40,7.0%
JavaScript,,35,6.2%
HTML,,19,3.3%
MATLAB,,17,3.0%
C++,,17,3.0%
TypeScript,,12,2.1%
Java,,10,1.8%
CSS,,8,1.4%
,,,
Top 10 Keywords from Tooling,,% Repositories,
python,,192,33.8%
data,,103,18.1%
learning,,85,15.0%
jupyter,,67,11.8%
numpy,,67,11.8%
machine,,61,10.7%
networks,,52,9.2%
neural,,54,9.5%
scikit,,50,8.8%
learn,,48,8.5%
,,,
Top 10 Keywords from Data Types,,% Repositories,
data,,345,60.7%
brain,,157,27.6%
clinical,,141,24.8%
mri,,126,22.2%
imaging,,95,16.7%
neuroimaging,,83,14.6%
images,,61,10.7%
dataset,,64,11.3%
disease,,56,9.9%
adni,,51,9.0%
,,,
Top 10 Keywords from Code Summary,,% Repositories,
brain,,217,38.2%
data,,243,42.8%
code,,270,47.5%
disease,,214,37.7%
project,,226,39.8%
learning,,187,32.9%
machine,,132,23.2%
system,,104,18.3%
models,,100,17.6%
application,,88,15.5%
,,,
FAIR Component Completeness,,% with component,
README,,,90.1%
Dependencies,,,21.7%
Container,,,3.2%
Environment Spec,,,1.9%
Version Info,,,1.2%
,,,
HUMAN CELLULAR MODELS,,,
Total Cell Models,626,,
,,,
Cell Models per Condition (Top 10),,,
Parkinson's disease,,60,9.6%
Alzheimer's disease,,55,8.8%
Frontotemporal dementia,,21,3.4%
"Alzheimer's disease, late onset",,12,1.9%
Frontotemporal dementia with parkinsonism,,11,1.8%
"Parkinson's disease, early onset",,9,1.4%
Spastic paraplegia,,9,1.4%
Leukoencephalopathy with vanishing white matter,,9,1.4%
Inclusion body myopathy with Paget disease and frontotemporal dementia (IBMPFD),,8,1.3%
"Alzheimer's disease, early onset",,8,1.3%
,,,
Most Common Genes,,,
LRRK2,,24,
MAPT,,21,
APP,,20,
FUS,,17,
SNCA,,17,
APOE,,17,
TREM2,,17,
CHMP2B,,14,
PRKN,,12,
PSEN1,,11,
,,,
Top Themes from Gene Descriptions,,% Cell Models,
mutations,,539,86.1%
protein,,486,77.6%
neurodegenerative,,582,93.0%
function,,472,75.4%
dysfunction,,472,75.4%
therapeutic,,549,87.7%
neuronal,,361,57.7%
onset,,344,55.0%
neurodegeneration,,360,57.5%
diseases,,332,53.0%
,,,
Top Themes from Variant Descriptions,,% Cell Models,
risk,,245,56.1%
apoe,,159,36.4%
nucleotide,,335,76.7%
mutation,,171,39.1%
protein,,226,51.7%
functional,,207,47.4%
pathogenic,,182,41.6%
lipid,,148,33.9%
increased,,171,39.1%
clinical,,192,43.9%
