,0,1,2
Query,Q1 Capped 150,Q2 Capped 150,Q3 Capped 150
Query type,All Fields + disease terms + modality terms,"tiab only — no disease/modality, skips noisy abbrevs",tiab + disease terms + modality terms
Query example,"(""Honolulu-Asia Aging Study""[All Fields] OR ""HAAS""[All Fields]) AND (""alzheimer's disease""[All Fields] OR ""dementia""[All Fields] OR ""parkinson's disease""[All Fields] OR ""normal aging, vascular dementia""[All Fields]) AND (2023/03/14:2026/03/13[Date - Publication])","(""Honolulu-Asia Aging Study""[tiab]) AND (2023/03/14:2026/03/13[Date - Publication])","(""Honolulu-Asia Aging Study""[tiab]) AND (""alzheimer's disease""[All Fields] OR ""dementia""[All Fields] OR ""parkinson's disease""[All Fields] OR ""normal aging, vascular dementia""[All Fields]) AND (2023/03/14:2026/03/13[Date - Publication])"
Total records,1717,3631,1574
Unique PMIDs,1462,2910,1285
Dedup rate,85.1%,80.1%,81.6%
Unique studies w/ hits,64,82,60
Max per study,150,371,150
Median per study,9.0,15.0,8.0
Top study #1,CODES (150),MCSA (371),NACC (150)
Top study #2,ADNI (146),BLSA (305),ADNI (150)
Top study #3,NACC (140),NACC (150),PPMI (149)
Top study #4,PPMI (135),CFAS (150),MAP (120)
Top study #5,MAP (118),ADNI (150),ROS (89)
Top study #6,ADAMS (99),MAP (149),PREVENT-dementia (79)
Top study #7,ROS (82),PPMI (149),AIBL (75)
Top study #8,PREVENT-dementia (74),PREVENT-dementia (148),MCSA (74)
Top study #9,BioFINDER (73),GP2 (147),BioFINDER (72)
Top study #10,ADSP (52),BDR (141),ADSP (64)
Top author #1,Hansson Oskar (161),Ferrucci Luigi (179),Hansson Oskar (157)
Top author #2,Bennett David A (133),Hansson Oskar (167),Bennett David A (134)
Top author #3,Stomrud Erik (129),Bennett David A (157),Stomrud Erik (129)
Top author #4,Zetterberg Henrik (121),Stomrud Erik (140),Palmqvist Sebastian (115)
Top author #5,Palmqvist Sebastian (121),Palmqvist Sebastian (124),Janelidze Shorena (109)
