DATASETS			
Total Datasets	237		
			
Coarse Data Types			
clinical		184	31.3%
genetics		89	15.1%
transcriptomics		89	15.1%
longitudinal		76	12.9%
proteomics		53	9.0%
imaging		50	8.5%
epigenomics		24	4.1%
metabolomics		23	3.9%
			
Sample Size Statistics			
Mean	66026		
Median	770		
Min	1		
Max	5897780		
Std Dev	489833		
			
FAIR Compliance Levels			
Excellent		126	53.2%
Strong		58	24.5%
Good		53	22.4%
			
PUBLICATIONS			
			
Five Most Prolific Studies			
The English Longitudinal Study of Ageing		365	
Swedish BioFINDER-2 Study		222	
Religious Orders Study		205	
Memory and Aging Project		189	
National Alzheimer's Coordinating Center		178	
			
Five Most Occurring Authors			
Hansson Oskar		228	
Bennett David		224	
Stomrud Erik		144	
Zetterberg Henrik		137	
Palmqvist Sebastian		134	
			
Five Most Occurring Affiliations			
Rush Alzheimer's Disease Center, Rush University Medical Center, Chicago, Illinois, USA.		69	
Department of Neurology, Mayo Clinic, Rochester, Minnesota, USA.		55	
Department of Radiology, Mayo Clinic, Rochester, Minnesota, USA.		50	
Clinical Memory Research Unit, Department of Clinical Sciences Malmö, Lund University, Lund, Sweden.		37	
Department of Quantitative Health Sciences, Mayo Clinic, Rochester, Minnesota, USA.		30	
			
Top 10 Keywords			
disease		949	6.1%
cognitive		382	2.5%
dementia		318	2.0%
amyloid		192	1.2%
biomarkers		174	1.1%
aging		162	1.0%
impairment		160	1.0%
tau		148	1.0%
learning		147	0.9%
study		136	0.9%
			
Data Completeness Distribution from PubMed API			
Mean	60.0%		
Median	40.0%		
Std Dev	29.4%		
Distribution			
0-25%		309	
26-50%		2554	
51-75%		107	
76-100%		2009	
			
CODE REPOSITORIES			
Total Repositories	1903		
			
Top Programming Languages			
Python		531	27.9%
Jupyter Notebook		371	19.5%
R		360	18.9%
HTML		83	4.4%
MATLAB		77	4.0%
C++		54	2.8%
JavaScript		44	2.3%
TypeScript		38	2.0%
C		33	1.7%
Shell		32	1.7%
			
Top 10 Keywords from Tooling		% Repositories	
python		855	47.4%
data		576	31.9%
package		328	18.2%
programming		419	23.2%
language		415	23.0%
learning		322	17.8%
version		238	13.2%
visualization		250	13.9%
management		239	13.2%
file		234	13.0%
			
Top 10 Keywords from Data Types		% Repositories	
data		1647	93.7%
clinical		660	37.6%
brain		499	28.4%
sequencing		318	18.1%
files		294	16.7%
format		320	18.2%
mri		327	18.6%
imaging		322	18.3%
gene		291	16.6%
disease		298	17.0%
			
Top 10 Keywords from Code Summary		% Repositories	
data		981	51.6%
brain		542	28.5%
code		662	34.8%
disease		577	30.4%
learning		432	22.7%
provides		480	25.2%
cell		202	10.6%
pipeline		317	16.7%
gene		237	12.5%
models		299	15.7%
			
FAIR Component Completeness		% with component	
README			99.2%
Dependencies			24.6%
Container			8.1%
Environment Spec			5.6%
Version Info			3.1%
			
Mean FAIR Score by Language (0-10 scale)			
Python	6.63/10	n=531	
Jupyter Notebook	6.18/10	n=371	
R	5.91/10	n=360	
			
HUMAN CELLULAR MODELS			
Total Cell Models	626		
			
Cell Models per Condition (Top 10)			
Parkinson's disease		60	9.6%
Alzheimer's disease		55	8.8%
Frontotemporal dementia		21	3.4%
Alzheimer's disease, late onset		12	1.9%
Frontotemporal dementia with parkinsonism		11	1.8%
Spastic paraplegia		9	1.4%
Parkinson's disease, early onset		9	1.4%
Leukoencephalopathy with vanishing white matter		9	1.4%
Inclusion body myopathy with Paget disease and frontotemporal dementia (IBMPFD)		8	1.3%
Alzheimer's disease, early onset		8	1.3%
			
Most Common Genes			
LRRK2		24	
MAPT		21	
APP		20	
FUS		17	
SNCA		17	
APOE		17	
TREM2		17	
CHMP2B		14	
PRKN		12	
PSEN1		11	
			
Top Themes from Gene Descriptions		% Cell Models	
mutations		539	86.1%
protein		486	77.6%
neurodegenerative		582	93.0%
function		472	75.4%
dysfunction		472	75.4%
therapeutic		549	87.7%
neuronal		361	57.7%
onset		344	55.0%
neurodegeneration		360	57.5%
diseases		332	53.0%
			
Top Themes from Variant Descriptions		% Cell Models	
risk		245	56.1%
apoe		159	36.4%
nucleotide		335	76.7%
mutation		171	39.1%
protein		226	51.7%
functional		207	47.4%
pathogenic		182	41.6%
lipid		148	33.9%
increased		171	39.1%
clinical		192	43.9%
