Resource Name	Primary dataset mentions	# distinct DOIs	DOI links
The Banner Sun Health Research Institute Brain and Body Donation Program	162	32	https://doi.org/10.1038/s41467-023-42305-3; https://doi.org/10.1038/s44328-024-00009-8; https://doi.org/10.22002/489mp-pkw86; https://doi.org/10.25422/azu.data.25246162; https://doi.org/10.25740/sq409qv3664; https://doi.org/10.5061/dryad.12jm63zb6; https://doi.org/10.5061/dryad.pk0p2ngvp; https://doi.org/10.5061/dryad.z08kprrpx; https://doi.org/10.5281/zenodo.10365334; https://doi.org/10.5281/zenodo.10470951; https://doi.org/10.5281/zenodo.11510059; https://doi.org/10.5281/zenodo.12507355; https://doi.org/10.5281/zenodo.15826233; https://doi.org/10.5281/zenodo.15826249; https://doi.org/10.5281/zenodo.16751625; https://doi.org/10.5281/zenodo.16885839; https://doi.org/10.5281/zenodo.17173379; https://doi.org/10.5281/zenodo.18020958; https://doi.org/10.5281/zenodo.18135365; https://doi.org/10.5281/zenodo.18562016; https://doi.org/10.5281/zenodo.18988717; https://doi.org/10.5281/zenodo.18988729; https://doi.org/10.5281/zenodo.18988735; https://doi.org/10.5281/zenodo.18988743; https://doi.org/10.5281/zenodo.18988753; https://doi.org/10.5281/zenodo.18988761; https://doi.org/10.5281/zenodo.18988768; https://doi.org/10.5281/zenodo.18989318; https://doi.org/10.5281/zenodo.19034709; https://doi.org/10.5281/zenodo.19124469; https://doi.org/10.5281/zenodo.19124632; https://doi.org/10.6084/m9.figshare.25902031
NIH NeuroBioBank	162	20	https://doi.org/10.1007/s11302-025-10103-9; https://doi.org/10.3389/fnagi.2026.1837327/full#supplementary-material; https://doi.org/10.35077/g.1156; https://doi.org/10.5061/dryad.2280gb612; https://doi.org/10.5061/dryad.h9w0vt4t9; https://doi.org/10.5061/dryad.mkkwh71dq; https://doi.org/10.5281/zenodo.14649027; https://doi.org/10.5281/zenodo.16938034; https://doi.org/10.5281/zenodo.17618429; https://doi.org/10.5281/zenodo.17712260; https://doi.org/10.5281/zenodo.17735822; https://doi.org/10.5281/zenodo.17917641; https://doi.org/10.5281/zenodo.18113528; https://doi.org/10.5281/zenodo.18264193; https://doi.org/10.5281/zenodo.19617066; https://doi.org/10.5281/zenodo.19631706; https://doi.org/10.5281/zenodo.20073415; https://doi.org/10.5281/zenodo.20174164; https://doi.org/10.5281/zenodo.20765389; https://doi.org/10.7910/DVN/VUJR5O
Generation Scotland	69	15	https://doi.org/10.5061/dryad.0gb5mkmcn; https://doi.org/10.5281/zenodo.10154736; https://doi.org/10.5281/zenodo.10426429; https://doi.org/10.5281/zenodo.13998835; https://doi.org/10.5281/zenodo.14185886; https://doi.org/10.5281/zenodo.14203229; https://doi.org/10.5281/zenodo.14878399; https://doi.org/10.5281/zenodo.14882848; https://doi.org/10.5281/zenodo.16794635; https://doi.org/10.5281/zenodo.17178557; https://doi.org/10.5281/zenodo.17455774; https://doi.org/10.5281/zenodo.17593039; https://doi.org/10.5281/zenodo.18672348; https://doi.org/10.5281/zenodo.20611646; https://doi.org/10.7488/ds/7546
Accelerating Medicines Partnership - Alzheimer's Disease	123	14	https://doi.org/10.1038/s41380-025-03073-2; https://doi.org/10.5281/zenodo.10472216; https://doi.org/10.5281/zenodo.12507355; https://doi.org/10.5281/zenodo.13895685; https://doi.org/10.5281/zenodo.15699094; https://doi.org/10.5281/zenodo.18100691; https://doi.org/10.5281/zenodo.19543885; https://doi.org/10.5281/zenodo.19875866; https://doi.org/10.5281/zenodo.19961797; https://doi.org/10.5281/zenodo.20851582; https://doi.org/10.6084/m9.figshare.31549300; https://doi.org/10.7303/9618093; https://doi.org/10.7303/syn52335732; https://doi.org/10.7303/syn73904737
Aligning Science Across Parkinson's Collaborative Research Network	34	14	https://doi.org/10.5061/dryad.pk0p2ngvp; https://doi.org/10.5281/zenodo.10470951; https://doi.org/10.5281/zenodo.11585274; https://doi.org/10.5281/zenodo.14270014; https://doi.org/10.5281/zenodo.14851272; https://doi.org/10.5281/zenodo.14851478; https://doi.org/10.5281/zenodo.15685275; https://doi.org/10.5281/zenodo.17652663; https://doi.org/10.5281/zenodo.17917771; https://doi.org/10.5281/zenodo.17917788; https://doi.org/10.5281/zenodo.18353680; https://doi.org/10.5281/zenodo.20085869; https://doi.org/10.5281/zenodo.7904831; https://doi.org/10.5522/04/30710741
Religious Orders Study	160	13	https://doi.org/10.5281/zenodo.10472216; https://doi.org/10.5281/zenodo.18842083; https://doi.org/10.5281/zenodo.18994273; https://doi.org/10.5281/zenodo.19543885; https://doi.org/10.5281/zenodo.19875866; https://doi.org/10.5281/zenodo.19961797; https://doi.org/10.5281/zenodo.20851582; https://doi.org/10.6084/m9.figshare.29497418; https://doi.org/10.6084/m9.figshare.31523905; https://doi.org/10.6084/m9.figshare.31549300; https://doi.org/10.7303/syn52335732; https://doi.org/10.7303/syn64942601; https://doi.org/10.7303/syn66644078
Global Parkinson's Genetics Program	55	13	https://doi.org/10.5281/zenodo.14193209; https://doi.org/10.5281/zenodo.14911978; https://doi.org/10.5281/zenodo.15013765; https://doi.org/10.5281/zenodo.15442537; https://doi.org/10.5281/zenodo.15499979; https://doi.org/10.5281/zenodo.16583859; https://doi.org/10.5281/zenodo.17173379; https://doi.org/10.5281/zenodo.18020958; https://doi.org/10.5281/zenodo.18562016; https://doi.org/10.5281/zenodo.20159771; https://doi.org/10.5281/zenodo.20476724; https://doi.org/10.5281/zenodo.7904831; https://doi.org/10.5281/zenodo.7904832
Accelerating Medicines Partnership - Alzheimer's Diseases	97	12	https://doi.org/10.5281/zenodo.13895685; https://doi.org/10.5281/zenodo.13937572; https://doi.org/10.5281/zenodo.17477449; https://doi.org/10.5281/zenodo.18100691; https://doi.org/10.5281/zenodo.18842083; https://doi.org/10.5281/zenodo.19543885; https://doi.org/10.5281/zenodo.19875866; https://doi.org/10.5281/zenodo.19961797; https://doi.org/10.6084/m9.figshare.28314569.v4; https://doi.org/10.6084/m9.figshare.31549300; https://doi.org/10.7303/9618093; https://doi.org/10.7303/syn73904737
Memory and Aging Project	134	11	https://doi.org/10.5281/zenodo.10472216; https://doi.org/10.5281/zenodo.18842083; https://doi.org/10.5281/zenodo.18994273; https://doi.org/10.5281/zenodo.19543885; https://doi.org/10.5281/zenodo.20851582; https://doi.org/10.6084/m9.figshare.29497418; https://doi.org/10.6084/m9.figshare.31523905; https://doi.org/10.6084/m9.figshare.31549300; https://doi.org/10.7303/syn52335732; https://doi.org/10.7303/syn64942601; https://doi.org/10.7303/syn66644078
The Seattle Alzheimer's Disease Brain Cell Atlas (SEA-AD) Study	56	9	https://doi.org/10.5061/dryad.6hdr7sr9d; https://doi.org/10.5281/zenodo.10006881; https://doi.org/10.5281/zenodo.12507355; https://doi.org/10.5281/zenodo.13892186; https://doi.org/10.5281/zenodo.14624012; https://doi.org/10.5281/zenodo.17241856; https://doi.org/10.5281/zenodo.17933409; https://doi.org/10.5281/zenodo.7249214; https://doi.org/10.7303/syn73904737
