Repository	Study	Issue Type	Details	Timestamp
https://github.com/stephaschultz/PSEN1_GSC_DIAN	Dominantly Inherited Alzheimer Network	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2026-03-06T17:53:54.785459
https://github.com/stephaschultz/PSEN1_GSC_DIAN	Dominantly Inherited Alzheimer Network	No Version Info	No version specification file found, may cause compatibility issues	2026-03-06T17:53:54.785487
https://github.com/stephaschultz/PSEN1_GSC_DIAN	Dominantly Inherited Alzheimer Network	No Container	No Docker or container file found, limiting reproducibility across environments	2026-03-06T17:53:54.785495
https://github.com/stephaschultz/PSEN1_GSC_DIAN	Dominantly Inherited Alzheimer Network	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-03-06T17:53:54.785502
https://github.com/stephaschultz/PSEN1_GSC_DIAN	Dominantly Inherited Alzheimer Network	Insufficient Content	Repository content too short (<50 chars), may be incomplete or non-functional	2026-03-06T17:54:17.061121
https://github.com/llevitis/DIAN_ESM_AmyloidBeta_Project	Dominantly Inherited Alzheimer Network	No Version Info	No version specification file found, may cause compatibility issues	2026-03-06T17:54:23.537602
https://github.com/llevitis/DIAN_ESM_AmyloidBeta_Project	Dominantly Inherited Alzheimer Network	No Container	No Docker or container file found, limiting reproducibility across environments	2026-03-06T17:54:23.537621
https://github.com/llevitis/DIAN_ESM_AmyloidBeta_Project	Dominantly Inherited Alzheimer Network	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-03-06T17:54:23.537626
https://github.com/WheelockLab/Tu-2024-DIAN-HubDisruption-FC	Dominantly Inherited Alzheimer Network	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2026-03-06T17:54:36.593449
https://github.com/WheelockLab/Tu-2024-DIAN-HubDisruption-FC	Dominantly Inherited Alzheimer Network	No Version Info	No version specification file found, may cause compatibility issues	2026-03-06T17:54:36.593457
https://github.com/WheelockLab/Tu-2024-DIAN-HubDisruption-FC	Dominantly Inherited Alzheimer Network	No Container	No Docker or container file found, limiting reproducibility across environments	2026-03-06T17:54:36.593460
https://github.com/WheelockLab/Tu-2024-DIAN-HubDisruption-FC	Dominantly Inherited Alzheimer Network	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-03-06T17:54:36.593463
https://github.com/scify/Dianoia-app	Dominantly Inherited Alzheimer Network	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-03-06T17:54:56.167738
https://github.com/scify/Dianoia-Marketplace	Dominantly Inherited Alzheimer Network	No Container	No Docker or container file found, limiting reproducibility across environments	2026-03-06T17:55:09.203577
https://github.com/scify/Dianoia-Marketplace	Dominantly Inherited Alzheimer Network	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-03-06T17:55:09.203583
https://github.com/ekatsuta/diane	Dominantly Inherited Alzheimer Network	No README	Repository lacks a README file, reducing accessibility and understandability	2026-03-06T17:55:25.437961
https://github.com/ekatsuta/diane	Dominantly Inherited Alzheimer Network	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2026-03-06T17:55:25.437969
https://github.com/ekatsuta/diane	Dominantly Inherited Alzheimer Network	No Version Info	No version specification file found, may cause compatibility issues	2026-03-06T17:55:25.437972
https://github.com/ekatsuta/diane	Dominantly Inherited Alzheimer Network	No Container	No Docker or container file found, limiting reproducibility across environments	2026-03-06T17:55:25.437975
https://github.com/ekatsuta/diane	Dominantly Inherited Alzheimer Network	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-03-06T17:55:25.437977
https://github.com/ekatsuta/diane	Dominantly Inherited Alzheimer Network	Insufficient Content	Repository content too short (<50 chars), may be incomplete or non-functional	2026-03-06T17:55:47.598834
https://github.com/seowork321/https-dianaandroma.site-diana-and-roma-study-human-body-organs-	Dominantly Inherited Alzheimer Network	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2026-03-06T17:55:54.089948
https://github.com/seowork321/https-dianaandroma.site-diana-and-roma-study-human-body-organs-	Dominantly Inherited Alzheimer Network	No Version Info	No version specification file found, may cause compatibility issues	2026-03-06T17:55:54.089954
https://github.com/seowork321/https-dianaandroma.site-diana-and-roma-study-human-body-organs-	Dominantly Inherited Alzheimer Network	No Container	No Docker or container file found, limiting reproducibility across environments	2026-03-06T17:55:54.089957
https://github.com/seowork321/https-dianaandroma.site-diana-and-roma-study-human-body-organs-	Dominantly Inherited Alzheimer Network	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-03-06T17:55:54.089959
https://github.com/gemmashireby/BDR_neuropathology_EWAS	Brains for Dementia Research	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2026-03-06T17:57:02.149261
https://github.com/gemmashireby/BDR_neuropathology_EWAS	Brains for Dementia Research	No Version Info	No version specification file found, may cause compatibility issues	2026-03-06T17:57:02.149269
https://github.com/gemmashireby/BDR_neuropathology_EWAS	Brains for Dementia Research	No Container	No Docker or container file found, limiting reproducibility across environments	2026-03-06T17:57:02.149275
https://github.com/gemmashireby/BDR_neuropathology_EWAS	Brains for Dementia Research	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-03-06T17:57:02.149278
https://github.com/IAiAye/BDrive	Brains for Dementia Research	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2026-03-06T17:57:24.845030
https://github.com/IAiAye/BDrive	Brains for Dementia Research	No Version Info	No version specification file found, may cause compatibility issues	2026-03-06T17:57:24.845048
https://github.com/IAiAye/BDrive	Brains for Dementia Research	No Container	No Docker or container file found, limiting reproducibility across environments	2026-03-06T17:57:24.845053
https://github.com/IAiAye/BDrive	Brains for Dementia Research	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-03-06T17:57:24.845057
https://github.com/htil/bdr-muse	Brains for Dementia Research	No Version Info	No version specification file found, may cause compatibility issues	2026-03-06T17:57:37.933809
https://github.com/htil/bdr-muse	Brains for Dementia Research	No Container	No Docker or container file found, limiting reproducibility across environments	2026-03-06T17:57:37.933824
https://github.com/htil/bdr-muse	Brains for Dementia Research	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-03-06T17:57:37.933829
https://github.com/htil/bdr-simulator	Brains for Dementia Research	No Version Info	No version specification file found, may cause compatibility issues	2026-03-06T17:57:50.885782
https://github.com/htil/bdr-simulator	Brains for Dementia Research	No Container	No Docker or container file found, limiting reproducibility across environments	2026-03-06T17:57:50.885797
https://github.com/htil/bdr-simulator	Brains for Dementia Research	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-03-06T17:57:50.885800
https://github.com/williamkoller/challenge-brain-agriculture	Harvard Biomarker Study	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-03-06T17:58:16.881431
