Study Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages	Biomedical Relevance	Code Summary	Data Types	Tooling
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/AmurdAmzer/AdamsBrain	AmurdAmzer	AmurdAmzer	TypeScript	NO - This repository is an educational technology platform for WASSCE (West African Senior School Certificate Examination) exam preparation. It is a general tutoring system for academic subjects and is not related to biomedical research, neuroscience, brain disorders, or medical applications.	AdamsBrain is an AI-powered intelligent tutoring system designed to help West African students prepare for WASSCE exams. The platform consists of a Next.js frontend web application and an Express.js backend API, with plans for a React Native mobile application.	Not specified in the available repository information.	Next.js, Express.js, React Native (planned), AI integration (unspecified framework)
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/adamjamo/adams-brainfood-proj	adamjamo	adamjamo	JavaScript	"NO. This is a general news application that allows users to view, post, vote on, and comment on articles. Despite the name ""BRAINFOOD,"" there is no indication that it relates to neuroscience, brain research, medical data analysis, or any biomedical applications - it appears to be a standard social news platform."	BRAINFOOD is a web-based news application that provides functionality for users to browse, post, and interact with articles. Users can sort articles by topics, vote articles up or down, and leave comments that they can later delete, creating a social news platform experience.	Not specified in the available repository information.	npm (Node Package Manager), React (implied by localhost:3000 and development mode references), Netlify (for deployment hosting)
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/wrgull/ag	wrgull	noahrileyvc		"NO. This repository is not biomedically relevant. It appears to be a promotional page for downloading an ebook titled ""Reframe Your Brain"" by Scott Adams, which is described as a productivity/self-help book rather than scientific or medical research related to neuroscience or brain disorders."	This is not a code repository but rather a markdown-formatted promotional page for downloading an ebook. The repository contains only README content that serves as a landing page with download links, book description, and reader reviews for a self-help book.	Not specified in the available repository information.	Markdown formatting, HTML elements, and external download links. No programming languages, frameworks, or development tools are present.
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/Cliffypal/Brain-Stroke-For-Mr.-Adams-Awodey	Cliffypal	Cliffypal	HTML	YES - This repository is biomedically relevant as it focuses on brain stroke prediction, which is directly related to neurological conditions and healthcare applications for brain disorders.	This is a web application that predicts the likelihood of brain stroke occurrence using machine learning. The application allows users to input relevant data and receive stroke risk predictions through a web interface powered by a machine learning backend model.	Not specified in the available repository information.	Not specified in the available repository information.
Alzheimer's Disease Cooperative Study Clinical Trials Dataset	ADCS	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/ravitedlapu/ADC-RBK-a-multimodal-approach-for-early-detection-of-chronic-diseases-and-focusing-on-Alzheimer-s	ravitedlapu	ravitedlapu		YES - This repository is directly focused on Alzheimer's disease detection, which is a major neurodegenerative condition. The project specifically aims to develop a machine learning model for early detection of chronic diseases with a focus on Alzheimer's using MRI brain imaging data.	The code implements an Attention Dual Convolutional-based Random Binary Kepler (ADC-RBK) model for predicting chronic disease risk, specifically targeting Alzheimer's disease detection. It features a dual CNN architecture with attention mechanisms that processes MRI images through two parallel convolutional branches with different kernel sizes, then applies attention weighting to focus on relevant features for binary classification.	MRI imaging data (specifically brain MRI scans for Alzheimer's detection)	PyTorch, torchvision, torch.nn, torch.optim, sklearn.metrics (mentioned for evaluation), ImageFolder dataset loader, DataLoader, CNN architectures, attention mechanisms, Adam optimizer
Alzheimer's Disease Cooperative Study Clinical Trials Dataset	ADCS	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/Rishi8520/S.H.R.A.V.Y.A	Rishi8520	Rishi8520	C	YES - This repository is highly biomedically relevant as it focuses on EEG-based brain monitoring for cognitive state classification, including detection of stress, anxiety, fatigue, and attention states. It involves neuroimaging data analysis, brain-computer interface technology, and healthcare applications for neurological/cognitive wellness monitoring.	S.H.R.A.V.Y.A is an AI-powered cognitive ear-worn assistant that performs real-time EEG signal acquisition and processing to monitor brain states and cognitive wellness. The system uses machine learning to classify cognitive states (focus, stress, anxiety, fatigue, calm, meditation) from EEG signals and provides automated interventions through haptic feedback and audio alerts.	EEG signals, brainwave patterns (delta, theta, alpha, beta, gamma frequency bands), cognitive state classifications, haptic feedback data, audio data, electrode impedance measurements, signal quality metrics.	Renesas EK-RA8D1 Development Board, ADS1263 24-bit ADC, μT-Kernel 3.0 real-time operating system, SPI communication interface, FFT-based signal processing, custom neural network architecture, N8N workflow automation, FSP Hardware Abstraction Layer, Standard C99 libraries, custom DSP libraries for EEG processing.
Alzheimer's Disease Cooperative Study Clinical Trials Dataset	ADCS	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/bothlab/galdur	bothlab	ximion		YES - This repository is biomedically relevant as it contains hardware designs for detecting Sharp-Wave-Ripple events in brain signals, which are important neurophysiological patterns studied in neuroscience research, particularly in memory and epilepsy studies.	This repository contains hardware description files for the GALDUR board, a Raspberry Pi hat designed for real-time detection of Sharp-Wave-Ripple events in brain signals. The board features ADCs, DACs, and UART connectivity to work with Intan Technologies brain recording equipment for low-latency neural signal processing and event disruption.	Brain signals/neural recordings, Sharp-Wave-Ripple events	Raspberry Pi 3/4+, Intan Technologies RHD2000 USB Interface Board, LaBrStim software, Syntalos, 16-bit ADCs, 16-bit DAC, UART communication, realtime clock
Alzheimer's Disease Cooperative Study Clinical Trials Dataset	ADCS	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/DevEraY/Stroke_Detector_AI_using_mri_and_ct_slices	DevEraY	DevEraY	Python	YES - This repository is directly focused on stroke detection using brain imaging data (MRI and CT scans). It involves medical imaging analysis, neurological condition detection, and clinical data processing for brain disorders, making it highly relevant to biomedical research and healthcare applications.	This code implements a symmetry-aware AI system for binary stroke detection from brain CT and MRI slices. It includes a comprehensive preprocessing pipeline that normalizes DICOM data, separates imaging sequences, removes background noise, and applies quantized z-score mapping to enhance lesion visibility. The system combines multiple imaging sequences in a 3D analysis approach and incorporates a hybrid expert-AI decision system to validate predictions and flag cases for expert review.	- MRI DICOM files (T2, T2 FLAIR, DWI b0, DWI b1000, ADC sequences) - CT DICOM files - Brain imaging slices - Lesion segmentation masks - Normalized grayscale NumPy arrays	- DICOM processing libraries - NumPy for array processing - CNN (Convolutional Neural Networks) - Custom sequence classification algorithms - Image preprocessing and normalization tools - Z-score statistical analysis - Sliding blur algorithms - Brain parenchyma isolation techniques
Alzheimer's Disease Neuroimaging Initiative Grand Opportunities	ADNI-GO	Alzheimer's Disease; Early Mild Cognitive Impairment; Normal Controls	https://github.com/himanshub1007/Alzhimers-Disease-Prediction-Using-Deep-learning	himanshub1007	himanshub1007	Python	YES - This repository is directly focused on Alzheimer's disease prediction using brain MRI imaging data. It specifically addresses neurodegenerative disease detection through medical imaging analysis and uses clinical neuroimaging data from the ADNI study for developing deep learning models to predict AD.	This project implements deep learning approaches for predicting Alzheimer's disease using brain MRI scans from the ADNI dataset. The code explores different transfer learning methods including pretrained 2D AlexNet with 2D representation and 3D autoencoders combined with CNNs, comparing their performance against CNNs trained from scratch for AD classification.	- Brain MRI scans (structural neuroimaging) - 3D brain images (121x145x121 voxels) - Whole brain data (grey matter and white matter) - Grey matter only data - Clinical data from ADNI study (686 MRI scans: 310 AD cases, 376 normal controls)	- Convolutional Neural Networks (CNNs) - AlexNet architecture - 3D Autoencoders - Transfer learning frameworks - Statistical Parametric Mapping (SPM) software version 12 - ImageNet pretrained models - Deep learning frameworks (specific framework not mentioned but likely TensorFlow/PyTorch)
Alzheimer's Disease Neuroimaging Initiative Phase 1	ADNI-1	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/mitchell-s17/ADNI1-RVAS	mitchell-s17	mitchell-s17	Jupyter Notebook	YES - This repository is directly focused on Alzheimer's Disease research, implementing a rare variant analysis workflow using ADNI (Alzheimer's Disease Neuroimaging Initiative) data to identify genetic variants associated with AD risk.	This repository implements the MIRAGE (MIxture model based Rare variant Analysis on GEnes) computational workflow for identifying rare genetic variants associated with Alzheimer's Disease using ADNI-1 data. The pipeline processes genetic data from 389 individuals (175 AD cases, 214 controls) through quality control, imputation, functional annotation, and gene-level association testing to identify rare variants with minor allele frequencies between 0.005-0.01 that may contribute to AD risk.	- Genetic/genomic data (SNP genotypes, VCF files) - Clinical phenotype data (ADNIMERGE dataset with AD case/control status) - Demographic and covariate data - Functional annotation data (PolyPhen-2, SIFT, CADD scores) - Haplotype data	Python 3.x (pandas, numpy, matplotlib, seaborn, scipy), R 4.x (data.table, vcfR, dplyr, mirage), PLINK 1.9/2.0, bcftools, ShapeIt2, ANNOVAR, LiftOver, Michigan Imputation Server, HRC reference panel, RefGene database, dbNSFP v4.1a
