funder_name	funding_context_from_paper	recipient	grant_number	source_url	following	V	PI	grants	Union.	ID
National Institute on Aging (NIA)	The Alzheimer's Disease Neuroimaging Initiative (ADNI) is funded by the National Institute on Aging, U19AG24904.	Alzheimer's Disease Neuroimaging Initiative	U19AG24904	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13184691/						
Alzheimer's Association	Y.U. has received grants from the Alzheimer's Association and the National Alzheimer's Coordinating Center (NIAP24-1268927) and the National Institute on Aging (K99AG088363).	Y.U.		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13184691/						
National Alzheimer's Coordinating Center	Y.U. has received grants from the Alzheimer's Association and the National Alzheimer's Coordinating Center (NIAP24-1268927) and the National Institute on Aging (K99AG088363).	Y.U.	NIAP24-1268927	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13184691/						
National Institute on Aging (NIA)	Y.U. has received grants from the Alzheimer's Association and the National Alzheimer's Coordinating Center (NIAP24-1268927) and the National Institute on Aging (K99AG088363).	Y.U.	K99AG088363	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13184691/						
Richman Family Precision Medicine Center of Excellence in Alzheimer's Disease	K.O. has received a Venture Discovery Award from the Richman Family Precision Medicine Center of Excellence in Alzheimer's Disease outside the submitted work in the past 36 months (the payments are made to Johns Hopkins University School of Medicine).	K.O.		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13184691/						
National Institutes of Health (NIH)	Data collection and sharing for this project were funded by the Alzheimer's Disease Neuroimaging Initiative (ADNI) (National Institutes of Health Grant U01 AG024904) and the Department of Defense ADNI (Award number W81XWH-12-2-0012).	Alzheimer's Disease Neuroimaging Initiative (ADNI)	U01AG024904	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13340103/						
Department of Defense	Data collection and sharing for this project were funded by the Alzheimer's Disease Neuroimaging Initiative (ADNI) (National Institutes of Health Grant U01 AG024904) and the Department of Defense ADNI (Award number W81XWH-12-2-0012).	Alzheimer's Disease Neuroimaging Initiative (ADNI)	W81XWH-12-2-0012	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13340103/						
National Institute on Aging (NIA)	ADNI is funded by the National Institute on Aging, the National Institute of Biomedical Imaging and Bioengineering, and through generous contributions from the following organizations...	Alzheimer's Disease Neuroimaging Initiative (ADNI)		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13340103/						
National Institute of Biomedical Imaging and Bioengineering (NIBIB)	ADNI is funded by the National Institute on Aging, the National Institute of Biomedical Imaging and Bioengineering, and through generous contributions from the following organizations...	Alzheimer's Disease Neuroimaging Initiative (ADNI)		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13340103/						
Canadian Institutes of Health Research	The Canadian Institutes of Health Research provides funding to support ADNI clinical sites in Canada.	Alzheimer's Disease Neuroimaging Initiative (ADNI)		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13340103/						
National Natural Science Foundation of China	Funder: National Natural Science Foundation of China | Award ID: 81872719; 81803337 | Recipient: Wang Suzhen Shi Fuyan	Wang Suzhen Shi Fuyan	81872719	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13340103/						
National Natural Science Foundation of China	Funder: National Natural Science Foundation of China | Award ID: 81872719; 81803337 | Recipient: Wang Suzhen Shi Fuyan	Wang Suzhen Shi Fuyan	81803337	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13340103/						
Shandong Provincial Natural Science Foundation	Funder: the Shandong Provincial Natural Science Foundation | Award ID: No. ZR2023MH313) | Recipient: Shi Fuyan	Shi Fuyan	ZR2023MH313	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13340103/						
Shandong Provincial Youth Innovation Team Development Plan of Colleges and Universities	Funder: Shandong Provincial Youth Innovation Team Development Plan of Colleges and Universities | Award ID: No. 2019-6-156, Lu-Jiao | Recipient: Shi Fuyan	Shi Fuyan	2019-6-156	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13340103/						
National Health and Medical Research Council (NHMRC)	Support was provided by the National Health and Medical Research Council of Australia (# 1101320 and 1157607).		1101320	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Health and Medical Research Council (NHMRC)	Support was provided by the National Health and Medical Research Council of Australia (# 1101320 and 1157607).		1157607	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Health and Medical Research Council (NHMRC)	KH is supported by a National Health and Medical Research Council (NHMRC) investigator grant (#1197190).	KH	1197190	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
Victorian Government	This work was also supported in part by the Victorian Government s Operational Infrastructure Support Program.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Health and Medical Research Council (NHMRC)	National Health and Medical Research Council (NHMRC grant 233200)		233200	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Health and Medical Research Council (NHMRC)	JES, DJM and PJM are supported by Investigator grants from the National Health and Medical Research Council of Australia.	JES, DJM and PJM		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
Health Promotion Foundation of Western Australia	The 1994/95 BHS was supported by a grant from the Health Promotion Foundation of Western Australia			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
Royal Perth Hospital Medical Research Foundation	Support from the Royal Perth Hospital Medical Research Foundation is also gratefully acknowledged.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institutes of Health (NIH)	AS receives support from multiple NIH grants (P30 AG010133, P30, AG072976, R01 AG019771, R01AG057739, U19 AG024904, R01 LM013463, R01 AG068193, T32AG071444, U01 AG068057, U01 AG072177, and U19 AG074879).	AS	P30AG010133	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institutes of Health (NIH)	AS receives support from multiple NIH grants (P30 AG010133, P30, AG072976, R01 AG019771, R01AG057739, U19 AG024904, R01 LM013463, R01 AG068193, T32AG071444, U01 AG068057, U01 AG072177, and U19 AG074879).	AS	P30AG072976	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institutes of Health (NIH)	AS receives support from multiple NIH grants (P30 AG010133, P30, AG072976, R01 AG019771, R01AG057739, U19 AG024904, R01 LM013463, R01 AG068193, T32AG071444, U01 AG068057, U01 AG072177, and U19 AG074879).	AS	R01AG019771	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
