model_name	version	mention_type	url	context_from_paper	source_url
multi-ancestry AD PRS		created	https://github.com/nkurniansyah/Alzheimer_PRS	Scripts used to perform analyses described in the paper and code to construct multi-ancestry AD PRS are available in the GitHub repository (https://github.com/nkurniansyah/Alzheimer_PRS)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12486013/
MSigDB	v.7.3	used	https://www.gsea-msigdb.org/gsea/msigdb/human/collections.jsp	Canonical pathway gene sets were obtained from MSigDB (v.7.3; https://www.gsea-msigdb.org/gsea/msigdb/human/collections.jsp)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13347950/
STRING	v.11.5	used	https://string-db.org/cgi/download	Human physical PPIs were downloaded from STRING https://www.gsea-msigdb.org/gsea/msigdb/human/collections.jsp (v.11.5; https://string-db.org/cgi/download)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13347950/
HuRI		used	http://www.interactome-atlas.org/download	Human physical PPIs were downloaded from STRING https://www.gsea-msigdb.org/gsea/msigdb/human/collections.jsp (v.11.5; https://string-db.org/cgi/download), HuRI (https://string-db.org/cgi/download http://www.interactome-atlas.org/download: last accessed in January 2022)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13347950/
inBio Map		used	https://www.intomics.com/inbio/map	and inBio Map (https://www.intomics.com/inbio/map: last accessed in January 2022) databases	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13347950/
TransposeNet		used		TransposeNet's humanized α-synuclein-, β-amyloid-, and TDP-43-modifier networks were obtained from our prior study.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13347950/
GTEx	v.8	used	https://www.gtexportal.org/	Bulk expression data in TPM format from different human tissues were downloaded from the GTEx (v.8; https://www.gtexportal.org/)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13347950/
DepMap	2023Q2	used	https://depmap.org/portal/data_page/?tab=allData	and gene dependency data in different cell lines were downloaded from DepMap (release: 2023Q2; https://depmap.org/portal/data_page/?tab=allData)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13347950/
NERINE		created	https://github.com/snz20/NERINE	NERINE's source code is available on GitHub (https://github.com/snz20/NERINE) and Zenodo (https://github.com/snz20/NERINE https://doi.org/10.5281/zenodo.19209293)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13347950/
RVTT		used	https://github.com/snz20/RVTT	RVTT was run by adapting the code from https://github.com/snz20/RVTT (Zenodo, https://doi.org/10.5281/zenodo.10627549)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13347950/
MAGeCK	v.0.5.9.2	used		MAGeCK-iNC analysis was performed using the MAGeCK (v.0.5.9.2) package on python (v.2.7)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13347950/
GSEApy	v.1.1.3	used		GO gene set enrichment analysis was performed using GSEApy (v.1.1.3) on python (v.3.12.4)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13347950/
karlsson_synthetic_taupet		created	https://github.com/DeMONLab-BioFINDER/karlsson_synthetic_taupet	The code and model will be made available at https://github.com/DeMONLab-BioFINDER/karlsson_synthetic_taupet	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13174752/
MLNI	v0.1.2 and v0.1.5	used	https://github.com/anbai106/mlni	MLNI   (v0.1.2 and v0.1.5):   89  89  https://github.com/anbai106/mlni  , MRIBAG generation	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12265779/
FUMA	v1.5.0	used	https://fuma.ctglab.nl/	FUMA (v1.5.0):   https://fuma.ctglab.nl/  , Gene mapping, genomic locus annotation	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12265779/
GCTA	v1.94.1	used	https://yanglab.westlake.edu.cn/software/gcta/#Overview	GCTA (v1.94.1):   https://yanglab.westlake.edu.cn/software/gcta/#Overview  , fastGWA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12265779/
LDSC	git version aa33296	used	https://github.com/bulik/ldsc	LDSC (git version aa33296):   https://github.com/bulik/ldsc  , genetic correlation	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12265779/
TwoSampleMR	v0.5.6	used	https://mrcieu.github.io/TwoSampleMR/index.html	TwoSampleMR (v0.5.6):   https://mrcieu.github.io/TwoSampleMR/index.html  , Mendelian randomization	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12265779/
PRScs	release date: Aug 10, 2023	used	https://github.com/getian107/PRScs	PRScs (release date: Aug 10, 2023):   https://github.com/getian107/PRScs  , PRS calculation	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12265779/
Lifelines	v0.27.8	used	https://lifelines.readthedocs.io/en/latest/	Lifelines (v0.27.8):   https://lifelines.readthedocs.io/en/latest/  , Survival analysis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12265779/
String	V12.0	used	https://string-db.org/	String (V12.0):   https://string-db.org/  , protein analyses	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12265779/
coloc	v5	used	https://github.com/chr1swallace/coloc	coloc (v5):   https://github.com/chr1swallace/coloc  ; Bayesian colocalization	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12265779/
GAMLSS		used		Code for out-of-sample data alignment, obtaining centile curves, and fitting the GAMLSS models is available in a containerized Docker image that is downloadable at https://zenodo.org/records/15367426.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12247954/
Computational Anatomy Toolbox (CAT12)		used	https://github.com/ChristianGaser/cat12	The Computational Anatomy Toolbox (CAT12) used for MRI preprocessing is available at: https://github.com/ChristianGaser/cat12	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13409254/
BrainAGE		used	https://github.com/ChristianGaser/BrainAGE	The code used to generate https://github.com/ChristianGaser/cat12 BrainAGE is available at: https://github.com/ChristianGaser/BrainAGE	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13409254/
brms		used		The corresponding R code for brms models is available upon reasonable request to the corresponding author.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10619155/
ProtAIDe-Dx		created		Code for the ProtAIDe-Dx model development/evaluation/biological annotations can be found at [GitHub link].	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12236936/
PEACOK	1.0.7	used	https://github.com/astrazeneca-cgr-publications/PEACOK/	Primary genetic association tests were performed using PEACOK (version 1.0.7). PEACOK 1.0.7 is available on Zenodo (https://doi.org/10.5281/zenodo.7097303) and GitHub (https://github.com/astrazeneca-cgr-publications/PEACOK/).	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12124131/
TensorQTL		used		xQTL analysis protocol and documentation: A comprehensive, web-based protocol describing the full xQTL analysis framework, including data preprocessing, reference data generation, TensorQTL association testing, fine-mapping and harmonization, with step-by-step guidance and links to executable workflows.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13308301/
Leafcutter		used		Alternative splicing QTL preprocessing pipeline: A workflow for quantifying and processing splicing variation from RNA-seq data, including intron clustering (e.g., via Leafcutter), filtering, normalization, and formatting into analysis-ready matrices for downstream sQTL mapping.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13308301/
Elastic Net		created		The repository contains the trained Elastic Net model (six_gene_model.pkl)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13360218/
Susceptible-Infectious-Recovery model		used	https://github.com/DeMONLab-BioFINDER/Xiao_Tau_simulation_SIR	Scripts for the revised Susceptible-Infectious-Recovery model can be found at https://github.com/DeMONLab-BioFINDER/Xiao_Tau_simulation_SIR	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13042161/
SuStaIn algorithm		used	https://github.com/ucl-pond	Implementations of the SuStaIn algorithm are available on the UCL-POND GitHub page: https://github.com/ucl-pond	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13042161/
GAMLSS model		used	https://github.com/brainchart/Lifespan	We generated the models using the GAMLSS model code in https://github.com/brainchart/Lifespan	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12330520/
