PMID	Resource Name	Abbreviation	Diseases Included	Coarse Data Modality	Granular Data Modality	PubMed Central Link	Authors	Affiliations	Title	Abstract	Keywords	Data Completeness	Diseases (Annotated)	Genes / Proteins	Chemicals	Cited Datasets
38968756	Honolulu-Asia Aging Study	HAAS	Alzheimer's Disease; Dementia; Parkinson's Disease; Normal Aging, Vascular dementia	clinical, longitudinal	Clinical assessments; Neuropathology; Cognitive testing; Cardiovascular data; Asian-American population focus	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11401759/	J Kallianpur Kalpana; K Obhi Hardeep; Timothy Donlon; Kamal Masaki; Bradley Willcox; Peter Martin	Kuakini Center for Translational Research on Aging, Kuakini Medical Center, Honolulu, HI, United States; Department of Tropical Medicine, Medical Microbiology and Pharmacology, University of Hawaii-Manoa, Honolulu, HI, United States; Kamehameha Schools-Kapālama, Honolulu, HI, United States. Electronic address: kalpana@hawaii.edu.; School of Medicine Office of Research, University of California Davis, Sacramento, CA, United States.; Kuakini Center for Translational Research on Aging, Kuakini Medical Center, Honolulu, HI, United States; Department of Geriatric Medicine, University of Hawaii-Manoa, Honolulu, HI, United States.; Department of Human Development and Family Studies, Iowa State University, Ames, IA, United States.	Cross-sectional and longitudinal associations between late-life depressive symptoms and cognitive deficits: 20-year follow-up of the Kuakini Honolulu-Asia aging study.	OBJECTIVE: To examine depressed affect, somatic complaints, and positive affect as longitudinal predictors of fluid, crystallized and global cognitive performance in the Kuakini Honolulu-Asia Aging Study (HAAS), a large prospective cohort study of Japanese-American men. METHODS: We assessed 3,088 dementia-free Kuakini-HAAS participants aged 71-93 (77.1 ± 4.2) years at baseline (1991-1993). Depressive symptoms were evaluated by the Center for Epidemiologic Studies Depression (CES-D) Scale. Baseline CES-D depression subscales (depressed and positive affects; somatic complaints) were computed. The Cognitive Abilities Screening Instrument (CASI) measured cognitive performance on a 100-point scale; fluid and crystallized cognitive abilities were derived from CASI factor analysis. Cognition was also evaluated at 4 follow-up examinations over a 20-year period. Multiple regression assessed baseline CES-D subscales as predictors of cognitive change. The baseline covariates analyzed were CASI, age, education, prevalent stroke, APOE ε4 presence, and the longevity-associated FOXO3 genotype. RESULTS: Cross-sectionally, baseline CES-D subscales were related to cognitive measures; e.g., higher depressed affect was associated with lower crystallized ability (β = -0.058, p ≤ 0.01), and somatic complaints were linked to poorer fluid ability (β = -0.045, p ≤ 0.05) and to worse global cognitive function as measured by total CASI score (β = -0.038, p ≤ 0.05). However, depression subscales did not significantly or consistently predict fluid ability, crystallized ability, or global cognitive performance over time. CONCLUSION: Psychological and physical well-being were associated with contemporaneous but not subsequent cognitive functioning. Assessment of depressive symptoms may identify individuals who are likely to benefit from interventions to improve mood and somatic health and thereby maintain or enhance cognition.	Aging;Cognition;Crystallized ability;Depression;Fluid ability;Japanese–American	100	neurocognitive dysfunction;depressive dis;cerebral vascular events;x senile dementia depressed or paranoid type;cognitive impairments mild;alzheimers dis;nervous system degenerative dis;coronary dis;cardiovascular;cardiovascular cvd;intlq1	APOE;FKHRL1 ,;foxo3;Neuropeptide I	glucocorticoid	
39104403	Incidence of Cognitive Impairment in Cohorts with Longitudinal Evaluation-PD	ICICLE-PD	Parkinson's Disease; PD Dementia; Mild Cognitive Impairment in PD	clinical, longitudinal, genetics, imaging	Clinical assessments, Cognitive testing, Motor assessments, MRI (fMRI, T1-weighted), PET (FDG-PET), Genotyping	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11299072/	Dana Pourzinal; A Lawson Rachael; J Yarnall Alison; H Williams-Gray Caroline; A Barker Roger; Jihyun Yang; L McMahon Katie; D O'Sullivan John; J Byrne Gerard; N Dissanayaka Nadeeka	Faculty of Medicine The University of Queensland Centre for Clinical Research Herston Queensland Australia.; Translational and Clinical Research Institute Newcastle University Newcastle Newcastle Upon Tyne UK.; Department of Clinical Neuroscience John van Geest Centre for Brain Repair University of Cambridge Cambridgeshire UK.; School of Clinical Sciences Faculty of Health Queensland University of Technology Brisbane Queensland Australia.	Profiling people with Parkinson's disease at risk of cognitive decline: Insights from PPMI and ICICLE-PD data.	INTRODUCTION: A subset of people with Parkinson's disease (PD) develop dementia faster than others. We aimed to profile PD cognitive subtypes at risk of dementia based on their rate of cognitive decline. METHOD: Latent class mixed models stratified subtypes in Parkinson's Progression Markers Initiative (PPMI) ( RESULTS: Four subtypes were identified: two with stable cognition, one with steady decline, and one with rapid decline. Performance on Judgement of Line Orientation, but not category fluency, was associated with a steady decline in the PPMI dataset, and deficits in category fluency, but not visuospatial function, were associated with a steady decline in the ICICLE-PD dataset. DISCUSSION: People with PD susceptible to cognitive decline demonstrate unique clinical profiles at diagnosis, although this differed between cohorts. HIGHLIGHTS: Four cognitive subtypes were revealed in two Parkinson's disease samples.Unique profiles of cognitive impairment were related to cognitive decline.Judgement of Line Orientation/category fluency predictive of steady decline.Global deficits related to rapid cognitive decline and increased dementia risk.	Parkinson's disease;clinical neuropsychology;cognitive impairment;dementia;latent class mixed model	100	parkinsons dis idiopathic;neurocognitive dysfunction;recil progressive;x senile dementia depressed or paranoid type;cognitive decline rapid;dual diag;speech articulation dis;movement dis syndromes;depressive dis	Uncharacterized gene E4 protein;APR	melevodopa	PPMI;ICICLE-PD
38245550	Incidence of Cognitive Impairment in Cohorts with Longitudinal Evaluation-PD	ICICLE-PD	Parkinson's Disease; PD Dementia; Mild Cognitive Impairment in PD	clinical, longitudinal, genetics, imaging	Clinical assessments, Cognitive testing, Motor assessments, MRI (fMRI, T1-weighted), PET (FDG-PET), Genotyping	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10799891/	J Whittle Benjamin; G Izuogu Osagie; Hannah Lowes; Dasha Deen; Angela Pyle; Jon Coxhead; A Lawson Rachael; J Yarnall Alison; S Jackson Michael; Mauro Santibanez-Koref; Gavin Hudson	Wellcome Centre for Mitochondrial Research, Biosciences Institute, Newcastle University, Newcastle upon Tyne, UK.; European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridgeshire, UK.; Wellcome Centre for Mitochondrial Research, Translational and Clinical Research Institute, Newcastle University, Newcastle upon Tyne, UK.; Biosciences Institute, Newcastle University, Newcastle upon Tyne, UK.; Translational and Clinical Research Institute, Newcastle University, Newcastle upon Tyne, UK.; Biosciences Institute, Newcastle University, Newcastle upon Tyne, UK. mauro.santibanez-koref@newcastle.ac.uk.; Wellcome Centre for Mitochondrial Research, Biosciences Institute, Newcastle University, Newcastle upon Tyne, UK. gavin.hudson@ncl.ac.uk.	Early-stage idiopathic Parkinson's disease is associated with reduced circular RNA expression.	Neurodegeneration in Parkinson's disease (PD) precedes diagnosis by years. Early neurodegeneration may be reflected in RNA levels and measurable as a biomarker. Here, we present the largest quantification of whole blood linear and circular RNAs (circRNA) in early-stage idiopathic PD, using RNA sequencing data from two cohorts (PPMI = 259 PD, 161 Controls; ICICLE-PD = 48 PD, 48 Controls). We identified a replicable increase in TMEM252 and LMNB1 gene expression in PD. We identified novel differences in the expression of circRNAs from ESYT2, BMS1P1 and CCDC9, and replicated trends of previously reported circRNAs. Overall, using circRNA as a diagnostic biomarker in PD did not show any clear improvement over linear RNA, minimising its potential clinical utility. More interestingly, we observed a general reduction in circRNA expression in both PD cohorts, accompanied by an increase in RNASEL expression. This imbalance implicates the activation of an innate antiviral immune response and suggests a previously unknown aspect of circRNA regulation in PD.		75	recil progressive;nervous system degenerative dis;neurocognitive dysfunction;x senile dementia depressed or paranoid type;parkinsons dis idiopathic;movement dis syndromes;parkinsonian dis;ftld with tau inclusions;unspecified viral infection;primary malignant neoplasm of lung;malignant neoplastic primary;recessive parkinsonism autosomal;cerebral vascular events	TMEM252;LMNB;RNASEL;KIAA1228;CCDC9;hif1a;PARK8;GBA;Synelfin;PINK1;PARK2;Beta-4 globin;extracellular monomeric;RPS4Y;SMCY;DDX3Y;DFFRY;Ifna11;MAFAL;C7orf53;TPST1;QnpA-13470;RSAD2;GS3686;RACK17;D9819.5;FCGR2A;KIAA1389;OcNOD2;VAMP4;C2orf79;DOPEY2 {ECO:0000303|PubMed:30213940,;DDX26B;IFI4;Rns4;Prkr;PRKR;Bcdin3d;CG14513;Gapt;RO3G_16321;Tpst1;ZMO1911;Translocation-associated notch protein TAN-1;Gba2;Conopressin-E;TCF6L2;YPL217C;VP2807	lactate	PPMI;ICICLE-PD
38428172	Aberdeen Children of the 1950s	ACONF	Aging; Multiple health conditions	clinical, longitudinal	Quality of Life, Birth cohort data, Socio-economic indicators, Cognitive tests, Behavioral assessments		P Mazzone Paolo; J Weir Christopher; Jacqueline Stephen; Sohinee Bhattacharya; M Chin Richard F	Muir Maxwell Epilepsy Centre, University of Edinburgh, Edinburgh, United Kingdom; Centre for Clinical Brain Sciences, University of Edinburgh, Edinburgh, United Kingdom; Child Life and Health, Centre for Inflammation Research, University of Edinburgh, Edinburgh, United Kingdom. Electronic address: p.p.mazzone@sms.ed.ac.uk.; Muir Maxwell Epilepsy Centre, University of Edinburgh, Edinburgh, United Kingdom; Edinburgh Clinical Trials Unit, Usher Institute, University of Edinburgh, Edinburgh, United Kingdom.; Edinburgh Clinical Trials Unit, Usher Institute, University of Edinburgh, Edinburgh, United Kingdom.; Formerly of Aberdeen Centre for Women's Health Research, The Institute of Applied Health Sciences, University of Aberdeen, Aberdeen, United Kingdom.; Muir Maxwell Epilepsy Centre, University of Edinburgh, Edinburgh, United Kingdom; Royal Hospital for Children and Young People, Edinburgh, United Kingdom; Centre for Clinical Brain Sciences, University of Edinburgh, Edinburgh, United Kingdom; Child Life and Health, Centre for Inflammation Research, University of Edinburgh, Edinburgh, United Kingdom.	Socioeconomic status in adulthood of children with and without a history of seizures: A retrospective cohort study.	OBJECTIVE: Compare adulthood socioeconomic status for children with and without a history of seizures. METHODS: Retrospective cohort study using Aberdeen Children of the Nineteen Fifties (ACONF) data comprising children born 1950-1956 attending primary school 1962-1964, with follow-up data collected in 2001. Adulthood socioeconomic status was based on registrar general measure of occupational social class and categorised as high or low. We adjusted for potentially confounding variables including childhood socioeconomic status, behavioural issues (Rutter A/B scores), biological sex, school test scores, educational attainment, parental engagement with education, peer-status in school, and alcohol use in adulthood. A multivariate binary logistic regression was performed to estimate the adjusted association between children with a history of seizures of any type (for example febrile seizures, or provoked seizures of any other etiology or seizures in the context of epilepsy) or severity and adult socioeconomic status. Multiple imputation using the Monte-Carlo-Markov-Chain method accounted for missing data. RESULTS: Pooled estimates (N = 2,208) comparing children with a history of seizures (n = 81) and children without a history of seizures (n = 2,127) found no differences between these cohorts in terms of adulthood socioeconomic status in both unadjusted (Odds Ratio (OR) 1.45 [95 % CI 0.71-2.96], p = 0.31) and adjusted (1.02 [0.46, 2.24], p = 0.96) analyses. Compared to males, females were at increased odds of having a lower socioeconomic status in adulthood (1.56 [1.13-2.17], p = 0.01).Compared to those with low educational attainment, those with moderate (0.32 [0.21, 0.48], p < 0.001) and high (0.12 [0.07, 0.20], p < 0.001) educational attainment were at reduced odds of having a lower socioeconomic status in adulthood. CONCLUSION: Cognitive problems in childhood (using educational attainment and scores on primary school tests proxy markers for cognition) rather than a history of seizures per se, were associated with lower SES in a population of adults born 1950-56 in Aberdeen. This relationship may be different depending on the time in history and nation/region of study. Given the changes in health, education and social support in the management of children with seizures over time, it would be of interest to investigate outcomes in a contemporary cohort. Such studies should ideally have validated diagnoses of seizures, details on seizure characteristics such as seizure type and severity, and a large sample size using national data.	Childhood;Epidemiology;Epilepsy;Seizures;Socioeconomic status	100				
40585142	Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	clinical, genetics, imaging	Brain tissue; Clinical data; Genomics; MRI; Neuropathology; Longitudinal clinical records	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12204281/	David Lukacsovich; I Young Juan; Lissette Gomez; A Schmidt Michael; Wei Zhang; W Kunkle Brian; Steven Chen X; R Martin Eden; Lily Wang	Division of Biostatistics, Department of Public Health Sciences, University of Miami, Miller School of Medicine, Miami, FL 33136, USA.; Dr. John T Macdonald Foundation Department of Human Genetics, University of Miami, Miller School of Medicine, Miami, FL 33136, USA.; John P. Hussman Institute for Human Genomics, University of Miami Miller School of Medicine, Miami, FL 33136, USA.	From aging to Alzheimer's disease: concordant brain DNA methylation changes in late life.	Aging is the strongest risk factor for Alzheimer's disease (AD), yet the molecular mechanisms linking aging to AD remain poorly understood. DNA methylation (DNAm) is an epigenetic modification that plays a critical role in gene regulation and has been implicated in both aging and AD. In this study, we performed a meta-analysis of DNAm profiles in the prefrontal cortex using two large, independent postmortem brain cohorts, the Religious Orders Study and Memory and Aging Project (ROSMAP) and Brains for Dementia Research (BDR), to identify DNAm differences associated with aging in late life. We identified 3,264 CpGs significantly associated with aging, the majority of which were hypermethylated and enriched in promoter regions and CpG islands. These aging-associated DNAm changes were significantly overrepresented in genes involved in immune regulation and metabolic pathways. When compared with AD-associated DNAm changes, we found a significant overlap, with nearly all CpGs and differentially methylated regions (DMRs) that were associated with both aging and AD Braak stage displaying concordant directionality. This supports the hypothesis that aging and AD are interconnected at the molecular level. Further integrative analyses indicated that a number of these DNAm variants may have functional relevance in AD. By integrating blood DNAm data, we identified multiple CpGs that showed significant brain-to-blood correlations and were involved in both aging and AD pathogenesis. Co-localization analyses with genome-wide association study (GWAS) data revealed shared genetic regulation of DNAm and dementia at several AD risk loci. Out-of-sample validation using the Alzheimer's Disease Neuroimaging Initiative (ADNI) dataset demonstrated that, among 334 CpGs showing concordant DNAm changes in aging and AD, baseline DNAm levels at cg10752406 in the	Aging;Alzheimer's disease;DNA methylation;biomarkers;epigenetics	100	alzheimers dis;x senile dementia depressed or paranoid type;nervous system degenerative dis;diseases of the nervous system g00g99;cognitive impairments mild;neurofibrillary tangles composed of disordered microtubules in neurons;sicklecell thalassemia	pHBP;APOE;JW1602;SOX10;K18G13.5;PRO0530;CHC_T00009130001;P7102.10;SP6;Heme activator protein 1;YOL146W;QtsA-18821;KIAA0160;NCU01164;YGL011C;CTCF;MATalpha1 transcription factor;ctbp-b;GR;Max;HTF4;TCF13L1;NANOG;XBR;SYGP-ORF4;B1307A11.3-1 ,;KMT1E;Hr21 ,;TCF7L2;PP3;Anx5;ACHRE;IDUA;KCA4;MTLR1;HOXA2;HOXA-4;HOXA-5;HOX1B;HOX1E;HOXB1;beta		syn3157275;GSE197305;GSE59685;ADNI;GCST90027158
39936280	Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	clinical, genetics, imaging	Brain tissue; Clinical data; Genomics; MRI; Neuropathology; Longitudinal clinical records	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11815327/	Morteza Kouhsar; Luke Weymouth; R Smith Adam; Jennifer Imm; Claudia Bredemeyer; Yehani Wedatilake; Ali Torkamani; Sverre Bergh; Geir Selbæk; Jonathan Mill; Clive Ballard; A Sweet Robert; Julia Kofler; Byron Creese; Ehsan Pishva; Katie Lunnon	Department of Clinical and Biomedical Sciences, Faculty of Health and Life Sciences, University of Exeter, Exeter, Devon, UK.; Norwegian National Centre for Aging and Health, Vestfold Hospital Trust, Tønsberg, Norway.; The Scripps Research Institute, La Jolla, California, USA.; Department of Psychiatry, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.; Department of Pathology, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.	A brain DNA co-methylation network analysis of psychosis in Alzheimer's disease.	INTRODUCTION: The presence of psychosis in Alzheimer's disease (AD) is suggested to be associated with distinct molecular and neuropathological profiles in the brain. METHODS: We assessed brain DNA methylation in AD donors with psychosis (AD+P) and without psychosis (AD-P) using the EPIC array. Weighted gene correlation network analysis identified modules of co-methylated genes in a discovery cohort (PITT-ADRC: N = 113 AD+P, N = 40 AD-P), with validation in an independent cohort (BDR: N = 79 AD+P, N = 117 AD-P), with Gene Ontology and cell-type enrichment analysis. Genetic data were integrated to identify methylation quantitative trait loci (mQTLs), which were co-localized with GWAS for related traits. RESULTS: We replicated one AD+P associated module, which was enriched for synaptic pathways and in excitatory and inhibitory neurons. mQTLs in this module co-localized with variants associated with schizophrenia and educational attainment. DISCUSSION: This represents the largest epigenetic study of AD+P to date, identifying pleiotropic relationships between AD+P and related traits. HIGHLIGHTS: DNA methylation was assessed in the prefrontal cortex in subjects with AD+P and AD-P. WGCNA identified six modules of co-methylated loci associated with AD+P in a discovery cohort. One of the modules was replicated in an independent cohort. This module was enriched for synaptic genes and in excitatory and inhibitory neurons. mQTLs mapping to genes in the module co-localized with GWAS loci for schizophrenia and educational attainment.	Alzheimer's disease (AD);DNA methylation;brain;epigenetics;methylation quantitative trait loci (mQTLs);pathways;psychosis;schizophrenia;weighted gene correlation network analysis (WGCNA)	100	nonorganic psychoses;alzheimers dis;cerebral vascular events;pneumonia ambiguous;schizophrenia unspec;parkinsons psychosis;major depressive dis;cognitive due to;x senile dementia depressed or paranoid type;severe anxiety panic;anxiety dis;bipolar dis;dementia w lewy bodies;unspecified mental f99	JW1602;Tmem43;TBX14;WT1;CYT19;Ogr1;KIAA1030;E48;60S ribosomal protein L11;KIAA1110;Os03g0701800 ,;GA18862;Rv3423.1;Sv2;SV2A;CbHCT1	pimavanserin;nitrogen;sphingolipid	syn23538600
39859237	Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	clinical, genetics, imaging	Brain tissue; Clinical data; Genomics; MRI; Neuropathology; Longitudinal clinical records	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11765370/	J Elsworthy Richard; Alex Pearce; Farnoush Masoudzadeh; Klaudia Koska; Honey Lodhiya; Gargi Meher; Jodelle Adjej; J Brookes Keeley	School of Sport, Exercise and Rehabilitation Sciences, University of Birmingham, Birmingham B15 2TT, UK.; Department of Biosciences, School of Science & Technology, Nottingham Trent University, Nottingham NG11 8NF, UK.	OAS1: A Protective Mechanism for Alzheimer's Disease? An Exploration of Data and Possible Mechanisms.	The immune system and neuroinflammation are now well established in the aetiology of neurodegeneration. Previous studies of transcriptomic and gene association studies have highlighted the potential of the 2'-5' oligoadenylate synthetase 1 (OAS1) to play a role in Alzheimer's disease. OAS1 is a viral response gene, interferon-induced, dsRNA activated enzyme, which binds RNase L to degrade dsRNA, and has been associated with COVID-19 response. This study explores whether a viral defence gene could play a vital role in neurodegeneration pathology. The genotyping of five SNPs across the	Alzheimer's disease;OAS1;astrocytes;dsRNA;moderator	100	alzheimers dis;neurocognitive dysfunction;caused by sarscov2;unspecified viral infection;x senile dementia depressed or paranoid type;nervous system degenerative dis;vascular dementia disorders;dementia w lewy bodies;ftld with tau inclusions;cognitive impairments mild;hyaloid degenration;viral dis	Hexb;JW1602;APOE;Xpnpep1;Psnl1;Trem2c;Abi3;Ship;BH3148;Rin3;Oas1;Laptm5;Itgam;2-5A synthase 1;PSEN1;SSA_0432;Ifna11;PH0196;JW5414;Pc52;Albumin;Immunodominant hypodermal antigen;TNeu011l01.1;FTHFD;Gfap;S100B;IGFRB;Goodpasture antigen;Tau;Rns4	formaldehyde;triton;n-[(2r,3r,4r,5s,6r)-2-[[(2r,3r,4r,5r,6s)-5-acetamido-6-[(2r,3r,4s,5s,6r)-2-[(2r,3r,4r,5r,6s)-4,5-dihydroxy-2-(hydroxymethyl)-6-[(2r,3s,4r,5r,6r)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-3-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-3-hydroxy-4-[(2r,3r,4s,5r,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]methoxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide;phenol red	BDRCohort;GTExdatabase;IGAPdataset
39169872	Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	clinical, genetics, imaging	Brain tissue; Clinical data; Genomics; MRI; Neuropathology; Longitudinal clinical records	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11346548/	Francine Grodstein; Bernardo Lemos; Jingyun Yang; Katia de Paiva Lopes; A Vialle Ricardo; Nicholas Seyfried; Yanling Wang; Gemma Shireby; Eilis Hannon; Alan Thomas; Keeley Brookes; Jonathan Mill; L De Jager Philip; A Bennett David	Rush Alzheimer's Disease Center, Rush University Medical Center, Chicago, IL, USA.; Coit Center for Longevity and Neurotherapeutics, Department of Pharmacology and Toxicology, R. Ken Coit College of Pharmacy, The University of Arizona, Tucson, AZ, USA.; Department of Biochemistry, and Center for Neurodegenerative Diseases, Emory University, Atlanta, GA, USA.; Department of Clinical and Biomedical Sciences, University of Exeter Medical School, University of Exeter, Exeter, UK.; Translational and Clinical Research Institute, Newcastle University, Newcastle Upon Tyne, UK.; Biosciences, School of Science and Technology, Nottingham Trent University, Nottingham, UK.; Center for Translational and Computational Neuroimmunology, Department of Neurology, and Taub Institute for Research on Alzheimer's Disease and the Aging Brain, Columbia University Irving Medical Center, New York, NY, USA.	Genetic architecture of epigenetic cortical clock age in brain tissue from older individuals: alterations in	The cortical epigenetic clock was developed in brain tissue as a biomarker of brain aging. As one way to identify mechanisms underlying aging, we conducted a GWAS of cortical age. We leveraged postmortem cortex tissue and genotyping array data from 694 participants of the Rush Memory and Aging Project and Religious Orders Study (ROSMAP; 11000,000 SNPs), and meta-analysed ROSMAP with 522 participants of Brains for Dementia Research (5,000,000 overlapping SNPs). We confirmed results using eQTL (cortical bulk and single nucleus gene expression), cortical protein levels (ROSMAP), and phenome-wide association studies (clinical/neuropathologic phenotypes, ROSMAP). In the meta-analysis, the strongest association was rs4244620 (	Aging;brain;dementia;epigenetics	100	x senile dementia depressed or paranoid type;neurocognitive dysfunction;alzheimers dis;diseases of the nervous system g00g99;nervous system degenerative dis;generalised and unspecified atherosclerosis;arterioloscleroses;beta2microglobulin deficiency;encephalon dis;age relat maculopathy;diabetes mellitus niddm;depressive dis;major depressive dis	KIAA0960;CD46;TMEM106B;Hexb;CpB0006;Tmem106b;SCY_4713;K24G6.23;SLC6A2;c3634;ASAH1;F22G5.28;PARP8;YBR0309;PAX5;HSD33;ADORA2;PDLG;F11;YCR92C;JW1602;ACTR3B;HEK11;KIAA0731;UNQ2493/PRO5780;LRRC11;POSTN;STAU2;TEGT;CLYBL;MUT;SPAC11D3.07c;ND8;C1S;SIGLEC3;TREM2;C4b;TGas087d21.1;BSU01660	peptide;pyrimidine;nucleoside	ROSMAP;BDR;BrainMeta;MyND;MiGA
38669542	Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	clinical, genetics, imaging	Brain tissue; Clinical data; Genomics; MRI; Neuropathology; Longitudinal clinical records		Ozde Cetinsoy; Ijeoma Anyanwu; Harikrishnan Krishnanand; Gokulakrishnan Natarajan; Naveen Ramachandran; Alan Thomas; J Brookes Keeley	Biosciences, Clifton Campus, Nottingham Trent University, Nottingham, UK.; Brains for Dementia Research, Faculty of Medical Sciences, Newcastle University, Newcastle, UK.	Gene Association Study of the Urokinase Plasminogen Activator and Its Receptor Gene in Alzheimer's Disease.	BACKGROUND: The role of the innate immune system has long been associated with Alzheimer's disease (AD). There is now accumulating evidence that the soluble Urokinase Plasminogen Activator Receptor pathway, and its genes, PLAU and PLAUR may be important in AD, and yet there have been few genetic association studies to explore this. OBJECTIVE: This study utilizes the DNA bank of the Brains for Dementia Research cohort to investigate the genetic association of common polymorphisms across the PLAU and PLAUR genes with AD. METHODS: TaqMan genotyping assays were used with standard procedures followed by association analysis in PLINK. RESULTS: No association was observed between the PLAU gene and AD; however, two SNPs located in the PLAUR gene were indicative of a trend towards association but did not surpass multiple testing significance thresholds. CONCLUSIONS: Further genotyping studies and exploration of the consequences of these SNPs on gene expression and alternative splicing are warranted to fully uncover the role this system may have in AD.	Alzheimer's disease;BDR;PLAU;PLAUR;association;innate immune system;suPAR	100				
38217550	Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	clinical, genetics, imaging	Brain tissue; Clinical data; Genomics; MRI; Neuropathology; Longitudinal clinical records	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10952166/	Hendrik Baron Daniel; Elizabeth Coulthard; Carslake David; Isla Sinclair Lindsey	Dementia Research Group, University of Bristol, Bristol, UK.; ReMemBr Group, University of Bristol, Bristol, UK.; Population Health Sciences, University of Bristol, Bristol, UK.	The risk of developing dementia in the COVID-19 pandemic; a cohort study.	OBJECTIVES: The effects of the COVID-19 pandemic on cognitive decline are not fully understood. Higher social activity and relationships have been associated with decreased risk of dementia. We hypothesised that risk of transition to dementia would increase after the start of the first national lockdown. METHODS: We obtained data from the Brains for Dementia (BDR) cohort, which has collected roughly annual data on 3726 older adults with and without dementia since 2008. Data continued to be collected during the lockdowns, although by telephone and/or video call instead of in person. Individuals diagnosed with dementia at study entry were excluded from this study as were individuals with only one visit. Cognitive status was classified using the Clinical Dementia Rating (CDR) global score. Poisson regression with cubic splines to account for differences in age was used to compare the incidence of dementia before and after March 1st 2020. RESULTS: Out of 2242 individuals, 208 individuals developed dementia before and 50 developed dementia after 01/03/20. The incidence rate ratio of developing dementia after 01/03/20 was 0.847 (0.538-1.335) p = 0.570. In our secondary analysis we found that the positive association between mild cognitive impairment (MCI) and dementia incidence decreased after 1/3/20 (interaction effect p = 0.031). CONCLUSION: The incidence of dementia as defined using the CDR global score did not change significantly after the first lockdown began, but we found evidence that lockdown decreased the positive association between MCI and dementia incidence. This may reflect that individuals were progressing to dementia more rapidly and thus missing the MCI stage or that assessing patients over the phone made diagnosing MCI more challenging.	Alzheimer's disease;COVID-19;cognitive dysfunction;mild cognitive impairment;quarantine;sars-CoV-2;social isolation	100	x senile dementia depressed or paranoid type;cognitive impairments mild;neurocognitive dysfunction;depressive dis;hearing loss;diabetes mellitus e08e13;essential primary hypertension;bmiq20;caused by sarscov2;malignant neoplastic primary;cerebral vascular events;memory difficulties;psychiatric elimination disorders;sensory deficits;infestations and infections;dementia mild;nphp19		alcohol	BDR
