Study Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages	Biomedical Relevance	Code Summary	Data Types	Tooling
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/AmurdAmzer/AdamsBrain	AmurdAmzer	AmurdAmzer	TypeScript	NO - This repository is an educational technology platform for West African students preparing for WASSCE (West African Senior School Certificate Examination) exams. It is a general tutoring system and does not relate to biomedical research, neuroscience, brain disorders, or medical applications.	AdamsBrain is an AI-powered intelligent tutoring system designed to help West African students prepare for WASSCE exams. The platform consists of a Next.js frontend web application and an Express.js backend API, with plans for a React Native mobile application.	Not specified in the available repository information.	Next.js, Express.js, React Native
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/adamjamo/adams-brainfood-proj	adamjamo	adamjamo	JavaScript	"NO - This is a general news application website that allows users to view, post, vote on, and comment on articles. Despite the name ""BRAINFOOD,"" there is no indication that it relates to neuroscience, brain research, medical data analysis, or any biomedical applications."	BRAINFOOD is a web-based news application that enables users to browse, post, and interact with articles through voting and commenting features. The application includes article sorting by topics and allows users to manage their own comments by deleting them if desired.	Not specified in the available repository information.	npm (Node Package Manager), React (implied by npm start and localhost:3000 development server), Netlify (for deployment hosting)
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/Cliffypal/Brain-Stroke-For-Mr.-Adams-Awodey	Cliffypal	Cliffypal	HTML	YES - This repository is biomedically relevant as it focuses on brain stroke prediction, which is directly related to neurological conditions and healthcare applications for brain disorders.	This is a web application that predicts the likelihood of brain stroke occurrence using machine learning. The application allows users to input relevant data and receive stroke risk predictions through a web interface powered by a machine learning model backend.	Not specified in the available repository information.	Not specified in the available repository information.
Alzheimer's Disease Cooperative Study Clinical Trials Dataset	ADCS	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/ravitedlapu/ADC-RBK-a-multimodal-approach-for-early-detection-of-chronic-diseases-and-focusing-on-Alzheimer-s	ravitedlapu	ravitedlapu		YES. This repository is directly focused on Alzheimer's disease detection, which is a major neurodegenerative condition. The project specifically aims to develop a machine learning model for early detection of chronic diseases with a focus on Alzheimer's using MRI brain imaging data.	The code implements an Attention Dual Convolutional-based Random Binary Kepler (ADC-RBK) model for predicting chronic disease risk, specifically targeting Alzheimer's disease detection. It features a dual CNN architecture with attention mechanisms that processes MRI images through two parallel convolutional branches with different kernel sizes, combines their outputs, and applies attention weighting for focused feature extraction before classification.	MRI imaging data (specifically brain MRI scans for Alzheimer's detection)	PyTorch, torchvision, torch.nn, torch.optim, sklearn.metrics (mentioned for evaluation), ImageFolder dataset loader, DataLoader, CNN architectures, attention mechanisms, Adam optimizer
Alzheimer's Disease Cooperative Study Clinical Trials Dataset	ADCS	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/bothlab/galdur	bothlab	ximion		YES - This repository is biomedically relevant as it provides hardware for detecting Sharp-Wave-Ripple events in brain signals, which are important neurophysiological patterns studied in neuroscience research, particularly in memory and epilepsy research.	This repository contains hardware description files for the GALDUR board, a Raspberry Pi hat designed for real-time detection of Sharp-Wave-Ripple events in brain signals. The board includes ADCs, DACs, and communication interfaces that work with Intan Technologies equipment to enable low-latency detection and disruption of specific brain signal patterns.	Brain signals/electrophysiological data (specifically Sharp-Wave-Ripple events)	Raspberry Pi 3/4+, Intan Technologies RHD2000 USB Interface Board, LaBrStim software, Syntalos, 16-bit ADCs, 16-bit DAC, UART communication, realtime clock
Alzheimer's Disease Cooperative Study Clinical Trials Dataset	ADCS	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/DevEraY/Stroke_Detector_AI_using_mri_and_ct_slices	DevEraY	DevEraY	Python	YES - This repository is directly focused on stroke detection using brain imaging data (MRI and CT scans). It involves medical imaging analysis, neurological condition detection, and clinical decision support for brain disorders, making it highly relevant to biomedical research and healthcare applications.	This code implements a symmetry-aware AI system for detecting brain strokes from single CT and MRI slices using a hybrid expert-AI decision framework. The system preprocesses DICOM medical imaging data by normalizing pixel intensities, automatically separating different imaging sequences (T2, FLAIR, DWI, ADC), removing background noise, and applying quantized z-score mapping to highlight lesions. It combines multiple imaging sequences in a 3D analysis approach that mimics radiologist workflow and includes a validation layer for expert review.	- MRI DICOM files (T2, T2 FLAIR, DWI b0, DWI b1000, ADC sequences) - CT DICOM files - Brain imaging slices - Normalized grayscale NumPy arrays - Lesion segmentation masks	- DICOM processing capabilities - NumPy for array manipulation - CNN (Convolutional Neural Networks) for image analysis - Custom preprocessing algorithms for sequence separation - Z-score normalization and quantization methods - 3D multi-sequence integration framework
Alzheimer's Disease Cooperative Study Clinical Trials Dataset	ADCS	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/Rishi8520/S.H.R.A.V.Y.A	Rishi8520	Rishi8520	C	YES - This repository is highly biomedically relevant as it focuses on EEG-based brain monitoring for cognitive state assessment, including detection of stress, fatigue, anxiety, and attention states. It represents a brain-computer interface system designed for neurological wellness monitoring and cognitive performance enhancement.	S.H.R.A.V.Y.A is an AI-powered cognitive assistant that performs real-time EEG signal acquisition and processing to classify cognitive states such as focus, stress, anxiety, fatigue, calm, and meditation. The system uses a multi-task real-time architecture to process brain signals through advanced signal processing pipelines and machine learning models, providing automated interventions through haptic feedback and audio alerts based on detected cognitive states.	EEG signals, brainwave patterns (delta, theta, alpha, beta, gamma frequency bands), cognitive state classifications, haptic feedback data, audio data, electrode impedance measurements, signal quality metrics	Renesas EK-RA8D1 Development Board, ADS1263 24-bit ADC, μT-Kernel 3.0 real-time operating system, SPI communication interface, FFT-based signal processing, custom neural network implementation, N8N workflow automation, FSP Hardware Abstraction Layer, Standard C99 libraries, custom DSP libraries for EEG processing
Alzheimer's Disease Neuroimaging Initiative Grand Opportunities	ADNI-GO	Alzheimer's Disease; Early Mild Cognitive Impairment; Normal Controls	https://github.com/himanshub1007/Alzhimers-Disease-Prediction-Using-Deep-learning	himanshub1007	himanshub1007	Python	YES - This repository is directly focused on Alzheimer's disease prediction using brain MRI imaging data. It specifically addresses neurodegenerative disease detection through medical imaging analysis and deep learning techniques for clinical applications.	This project implements deep learning models for predicting Alzheimer's disease from brain MRI scans using transfer learning approaches. The code compares different CNN architectures including pretrained 2D AlexNet with 2D representation and 3D autoencoders, achieving 86% accuracy with the AlexNet approach on a dataset of 686 MRI scans from the ADNI study.	- Brain MRI scans (structural neuroimaging) - 3D brain images (121x145x121 voxels) - Whole brain and grey matter segmented data - Clinical classification data (AD patients vs normal controls)	- Convolutional Neural Networks (CNN) - AlexNet architecture - 3D Autoencoders - Transfer learning frameworks - Statistical Parametric Mapping (SPM) software version 12 - ADNI (Alzheimer's Disease Neuroimaging Initiative) dataset - ImageNet pretrained models
Alzheimer's Disease Neuroimaging Initiative Phase 1	ADNI-1	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/mitchell-s17/ADNI1-RVAS	mitchell-s17	mitchell-s17	Jupyter Notebook	YES - This repository is directly focused on Alzheimer's Disease research, implementing a rare variant analysis workflow using ADNI (Alzheimer's Disease Neuroimaging Initiative) data to identify genetic variants associated with AD risk.	This repository implements the MIRAGE (MIxture model based Rare variant Analysis on GEnes) computational workflow for identifying rare genetic variants associated with Alzheimer's Disease using ADNI-1 data. The pipeline processes genetic data from 389 individuals (175 AD cases, 214 controls) through quality control, imputation, functional annotation, and gene-level association testing to identify rare variants with minor allele frequencies between 0.005-0.01 that may contribute to AD risk.	- Genetic/genomic data (GWAS genotype data, VCF files) - Clinical phenotype data (ADNIMERGE dataset with AD case/control status) - Demographic and covariate data - Functional annotation data (RefGene, dbNSFP, PolyPhen-2, SIFT, CADD scores)	Python 3.x (pandas, numpy, matplotlib, seaborn, scipy), R 4.x (data.table, vcfR, dplyr, mirage), PLINK 1.9/2.0, bcftools, ShapeIt2, ANNOVAR, LiftOver, Michigan Imputation Server, HRC reference panel, genetic maps (GRCh37/hg19), LiftOver chain files (hg18ToHg19)
Alzheimer's Disease Neuroimaging Initiative Phase 1	ADNI-1	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/FahimFBA/organize-ADNI	FahimFBA	FahimFBA	HTML	YES - This repository is directly related to Alzheimer's disease research and neuroimaging. It provides tools for organizing and processing the ADNI (Alzheimer's Disease Neuroimaging Initiative) dataset, which is a major neuroimaging dataset used for studying Alzheimer's disease, mild cognitive impairment, and cognitively normal subjects.	This repository contains three Python scripts designed to organize and process the ADNI neuroimaging dataset. The scripts sequentially organize subjects by diagnostic group (AD, MCI, CN), remove unnecessary subdirectories, and rename NIfTI brain imaging files to use standardized subject IDs for easier data management and analysis.	- NIfTI (.nii) neuroimaging files - CSV files containing subject metadata and group classifications - MRI brain imaging data from the ADNI dataset	- Python 3.9 or later - Standard Python libraries for file system operations - gzip compression utility (mentioned for optional file compression)
