Resource Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages	Content_For_Analysis	Biomedical Relevance	Code Summary	Data Types	Tooling
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/llevitis/DIAN_ESM_AmyloidBeta_Project	llevitis	llevitis; dependabot[bot]	Jupyter Notebook		YES - This repository is directly related to Alzheimer's disease research. It specifically focuses on modeling the spread of Amyloid Beta (a key pathological protein in Alzheimer's disease) using data from the Dominantly Inherited Alzheimer's Network (DIAN), which is a major research initiative studying familial Alzheimer's disease.	This repository implements epidemic spreading models to simulate and analyze the propagation of Amyloid Beta pathology in Alzheimer's disease using data from the DIAN dataset. The project uses mathematical modeling approaches to understand how amyloid pathology spreads through brain networks in individuals with dominantly inherited (familial) Alzheimer's disease.	The repository mentions the DIAN (Dominantly Inherited Alzheimer's Network) dataset, which typically includes neuroimaging data (MRI, PET scans for amyloid), clinical assessments, and genetic information. However, specific data modalities are not explicitly detailed in the available repository information beyond the reference to Amyloid Beta and brain network data.	Based on the repository structure, the project uses Git submodules for managing ESM (Epidemic Spreading Model) scripts and data dependencies. Specific programming languages, frameworks, and computational tools are not specified in the available repository information.
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/WheelockLab/Tu-2024-DIAN-HubDisruption-FC	WheelockLab	cindyhfls	MATLAB		YES - This repository is directly related to Alzheimer's disease research. It specifically analyzes data from the Dominantly Inherited Alzheimer Network (DIAN), focusing on hub disruption and functional connectivity (FC) in the brain. This is clearly biomedical research targeting a neurodegenerative disease.	This repository contains analysis code for studying brain hub disruption using functional connectivity data in individuals with dominantly inherited Alzheimer's disease from the DIAN cohort. The analysis involves examining Hub Disruption Index (HDI) measures across subjects with MRI data, incorporating regression covariates to understand brain network changes in Alzheimer's disease.	- MRI data (implied from subject list and functional connectivity analysis) - Functional connectivity data - Hub Disruption Index (HDI) measurements (z-scores) - Clinical/demographic covariates (regression covariates)	Not fully specified in the available repository information. Based on the file formats mentioned (.xlsx, .csv) and typical neuroimaging analysis workflows, likely tools include Python or R for statistical analysis, and potentially neuroimaging packages for functional connectivity analysis, though specific packages are not listed in the provided content.
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/scify/Dianoia-app	scify	PavlosIsaris; dependabot[bot]	TypeScript		"YES - This repository is biomedically relevant as it is explicitly designed for people with dementia. The app provides ""non-pharmaceutical activities for people with dementia,"" which directly relates to healthcare applications for neurological conditions and dementia care."	Dianoia is a mobile application built with Ionic 3 and Cordova 8 that provides non-pharmaceutical therapeutic activities for people with dementia. The app is designed to run on Android devices and can also be deployed as a web application, offering cognitive engagement tools for dementia patients and their caregivers.	Not specified in the available repository information. The repository focuses on the application framework and deployment rather than specific data collection or analysis modalities.	- Ionic Framework (v3, CLI v6.11.11) - Cordova (v8.1.2) - Node.js (v14.21.1) - npm (v6.14.17) - Java 8 (OpenJDK 1.8) - Gradle (v4.10.3) - Android SDK - Android Studio - Firebase Analytics - GlitchTip (error tracking) - TypeScript - Git/GitHub Pages
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/scify/Dianoia-Marketplace	scify	NikolasGialitsis; PavlosIsaris; stacksharebot; estafons	PHP		"YES - This repository is biomedically relevant as it is a web application for creating content for the ""Dianoia"" mobile app. Dianoia (Greek for ""thought"" or ""mind"") appears to be related to cognitive/brain health applications, likely focusing on neurological or cognitive conditions given the naming convention commonly used in neuroscience and brain health applications."	This is a Laravel 12-based web application that serves as a content management system for the Dianoia mobile app. It provides a backend platform for creating, managing, and delivering content to the mobile application, with features including database management, user-uploaded file handling, and SEO optimization through sitemap generation.	Not specified in the available repository information. The repository documentation focuses on technical setup and does not explicitly mention the types of biomedical or clinical data being managed.	- Laravel 12 (PHP web framework) - PHP 8.0 or newer - Composer (PHP dependency management) - Node.js and npm (front-end dependency management) - Node Version Manager (nvm) - Apache web server - MySQL/Database (via Laravel migrations) - Spatie Laravel Sitemap (SEO) - Laravel Pint (code styling) - Xdebug (debugging) - Chrome Xdebug Helper extension - PhpStorm/IntelliJ IDE support
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/seowork321/https-dianaandroma.site-diana-and-roma-study-human-body-organs-	seowork321	seowork321			NO. This appears to be a spam/promotional repository with no actual biomedical research content. The repository name and README suggest it's related to a children's educational website (Diana and Roma) about human body organs, but contains only marketing text with a hyperlink rather than any research code, analysis tools, or scientific content related to biomedical applications.	This repository contains no actual code. It consists only of a README file with basic anatomical descriptions of human organs (brain, heart, lungs, liver, stomach) and appears to be a promotional/spam repository linking to an external website rather than a legitimate software or research project.	Not specified in the available repository information.	None. No code, packages, frameworks, or tools are present in this repository.
Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	https://github.com/gemmashireby/BDR_neuropathology_EWAS	gemmashireby	gemmashireby	R		YES - This repository is directly related to Alzheimer's disease research. It contains analysis scripts for an epigenome-wide association study (EWAS) examining DNA methylation signatures associated with Alzheimer's disease neuropathology in cortical brain tissue. The research investigates how DNA methylation patterns correlate with amyloid-beta plaques and neurofibrillary tangles across different neural cell types.	This repository contains R scripts for analyzing DNA methylation data from the Brains for Dementia Research (BDR) cohort to identify epigenetic signatures associated with Alzheimer's disease neuropathology. The code performs epigenome-wide association studies across 631 donors, meta-analyzes results with previous studies, and characterizes cell-type-specific methylation patterns in neurons, oligodendrocytes, and microglia to determine which cell populations drive the observed methylation differences in bulk cortex tissue.	- DNA methylation data (epigenomic data) - Neuropathology measurements (amyloid-beta plaques, neurofibrillary tangles) - Brain cortex tissue samples (bulk tissue and purified nuclei populations) - Cell-type-specific data (neurons, oligodendrocytes, microglia-enriched populations) - Clinical/demographic data from brain donors	Based on the repository description and typical EWAS workflows, likely tools include: - R programming language - Bioconductor packages for DNA methylation analysis (likely minfi, limma, or similar) - Statistical analysis packages for EWAS and meta-analysis - Cell-type deconvolution tools - Data visualization packages
Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	https://github.com/IAiAye/BDrive	IAiAye	IAiAye			"NO. This repository is a personal knowledge base or study notes collection focused on computer science fundamentals and algorithms. The name ""BDrive: Brain Drive"" appears to be a metaphorical reference to organizing knowledge/learning, not related to actual brain research, neuroscience, or biomedical applications. The content covers topics like computer architecture, sorting algorithms, priority queues, and minimum spanning trees, which are general computer science concepts."	This repository serves as a personal documentation and note-taking system for computer science topics and algorithms. It appears to be organized as a knowledge base with markdown files covering fundamental CS concepts like computer architecture, sorting algorithms, priority queues, and graph algorithms (minimum spanning trees). The repository functions as a learning resource or reference guide rather than executable code.	Not specified in the available repository information.	Markdown (for documentation)
Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	https://github.com/htil/bdr-muse	htil	BryanHernandez04; ajaymehul; pwstegman; BryanYHernandez	JavaScript		YES - This repository is biomedically relevant as it involves brain-computer interface (BCI) technology using the Muse EEG headset for neuroimaging. The project captures and analyzes brain signals (specifically engagement metrics) in real-time, which falls under neuroscience and brain analysis applications, even though it's implemented in a gaming/recreational context (drone racing).	This is a web-based brain-computer interface application that connects to a Muse EEG headset to control a Tello drone through brain activity. The system measures the user's engagement level from EEG signals and uses this metric to control drone flight - when engagement exceeds a 20% threshold, the drone takes off and flies forward with speed proportional to the engagement level.	EEG (electroencephalography) data from Muse headset, specifically engagement metrics derived from brain signals.	- Node.js (server-side JavaScript runtime) - Muse EEG headset SDK/API - Web technologies (HTTP server on localhost:8888) - Tello drone control libraries
Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	https://github.com/htil/bdr-simulator	htil	BryanHernandez04; lcbentley13; BryanYHernandez	CSS		YES - This repository is biomedically relevant as it involves brain-computer interface (BCI) technology using EEG data from the Muse device. It processes neurophysiological signals (gamma and alpha brain wave bands) for neuroscience applications, specifically demonstrating real-time brain activity monitoring and interpretation, which has applications in neuroscience research and brain-computer interface development.	This is a Brain-Drone Race Simulator that uses real-time EEG brain wave data to control drone speed in a game environment. The system processes gamma and alpha band frequencies from a Muse EEG headset to translate brain activity into drone movement controls within a Unity-based WebAssembly simulator.	- EEG (electroencephalography) data - Brain wave frequency bands (gamma and alpha)	- Muse EEG headset (hardware) - bci.js (brain-computer interface JavaScript library) - BCIDevice (EEG data processing) - Unity (game engine/simulator) - WebAssembly - JavaScript
Harvard Biomarker Study	HBS	Parkinson's Disease; Prodromal Parkinson's Disease; Normal Controls	https://github.com/williamkoller/challenge-brain-agriculture	williamkoller	williamkoller	TypeScript		"NO. Despite the name ""Brain Agriculture,"" this repository is not related to biomedical research or neuroscience. It is a software development challenge project for agricultural management, focused on building a web API for managing farm/agricultural data (as indicated by the ""Agriculture"" context and the general CRUD application structure)."	This is a full-stack web API application built with NestJS and TypeScript for managing agricultural data. The project includes a PostgreSQL database with Sequelize ORM, automated migrations, Swagger API documentation, and is deployed on Railway with CI/CD via GitHub Actions. It features a dashboard interface for data visualization and includes comprehensive testing with Jest.	"Not specified in the available repository information. The README does not detail the specific agricultural data types being managed (likely farm/producer information, crop data, land area metrics based on the ""agriculture"" context)."	- **Backend Framework**: Node.js (v22.12.0), TypeScript, NestJS - **Database**: PostgreSQL, Sequelize ORM - **Containerization**: Docker, Docker Compose - **Testing**: Jest - **API Documentation**: Swagger - **CI/CD**: GitHub Actions - **Cloud Deployment**: Railway - **Version Management**: NVM (Node Version Manager) - **API Testing**: Postman collections
